Marka,Isletim_Sistemi,Dahili_Hafiza,On_Kamera_Cozunurlugu,Arka_Kamera_Cozunurlugu,Bellek_Kapasitesi,Batarya_Kapasitesi,Fiyat
21,0,64.0,16.0,64.0,6.0,5260.0,3849.0
21,0,128.0,13.0,48.0,4.0,5020.0,2949.0
17,0,64.0,13.0,48.0,4.0,5000.0,2689.0
17,0,32.0,8.0,13.0,2.0,4000.0,2279.0
13,0,128.0,16.0,48.0,4.0,4880.0,3028.0
13,0,32.0,12.0,12.0,2.0,5000.0,2499.0
3,0,128.0,25.0,48.0,6.0,4510.0,3381.0
13,0,32.0,8.0,13.0,3.0,4230.0,2199.0
18,0,64.0,16.0,48.0,6.0,4500.0,35.0
13,0,64.0,8.0,12.0,4.0,4230.0,2539.0
15,0,128.0,20.0,64.0,6.0,4700.0,6799.0
17,0,32.0,8.0,13.0,2.0,4000.0,2410.0
1,1,64.0,7.0,12.0,3.0,1821.0,4921.0
1,1,64.0,7.0,12.0,3.0,2942.0,6862.0
21,0,128.0,16.0,64.0,6.0,5020.0,3679.0
8,0,128.0,16.0,48.0,6.0,4200.0,3039.0
21,0,128.0,13.0,48.0,4.0,5020.0,26.0
21,0,64.0,13.0,48.0,3.0,5020.0,2799.0
17,0,128.0,40.0,108.0,12.0,5000.0,10579.0
1,1,128.0,12.0,12.0,4.0,3046.0,8099.0
21,0,64.0,13.0,48.0,4.0,4000.0,2589.0
20,0,8.0,5.0,8.0,1.0,2350.0,1179.0
21,0,128.0,16.0,64.0,6.0,5260.0,4099.0
21,0,128.0,16.0,64.0,6.0,5020.0,3679.0
17,0,16.0,5.0,13.0,2.0,3000.0,2.0
5,0,64.0,8.0,13.0,4.0,4000.0,2033.0
13,0,128.0,16.0,48.0,4.0,4880.0,3028.0
13,0,128.0,16.0,48.0,8.0,4000.0,3215.0
13,0,128.0,16.0,48.0,8.0,4015.0,3580.0
17,0,16.0,5.0,13.0,2.0,3000.0,2019.0
1,1,128.0,7.0,12.0,3.0,2691.0,6279.0
21,0,64.0,16.0,64.0,6.0,5020.0,34.0
8,0,128.0,16.0,48.0,6.0,4200.0,3039.0
1,1,64.0,12.0,12.0,4.0,3046.0,7559.0
8,0,32.0,8.0,13.0,2.0,3020.0,1625.0
21,0,128.0,13.0,48.0,4.0,5020.0,30.0
21,0,128.0,16.0,64.0,6.0,5260.0,4099.0
21,0,64.0,16.0,48.0,4.0,5020.0,3.0
21,0,64.0,16.0,64.0,6.0,5260.0,3849.0
21,0,128.0,13.0,48.0,4.0,5020.0,2949.0
17,0,64.0,13.0,48.0,4.0,5000.0,2689.0
17,0,32.0,8.0,13.0,2.0,4000.0,2279.0
13,0,128.0,16.0,48.0,4.0,4880.0,3028.0
13,0,32.0,12.0,12.0,2.0,5000.0,2499.0
3,0,128.0,25.0,48.0,6.0,4510.0,3381.0
13,0,32.0,8.0,13.0,3.0,4230.0,2199.0
18,0,64.0,16.0,48.0,6.0,4500.0,35.0
13,0,64.0,8.0,12.0,4.0,4230.0,2539.0
21,0,128.0,20.0,64.0,6.0,4500.0,3340.0
1,1,32.0,7.0,12.0,2.0,1960.0,4125.0
13,0,128.0,16.0,48.0,8.0,4025.0,3360.0
1,1,256.0,12.0,12.0,4.0,3110.0,8979.0
2,0,8.0,2.0,5.0,1.0,2250.0,990.0
10,0,128.0,16.0,48.0,4.0,4000.0,2829.0
8,0,128.0,16.0,48.0,4.0,4000.0,2581.0
17,0,128.0,32.0,12.0,6.0,4500.0,6499.0
10,0,32.0,8.0,13.0,3.0,4000.0,2599.0
1,1,512.0,12.0,12.0,4.0,3969.0,15575.0
1,1,64.0,12.0,12.0,4.0,3190.0,114199.0
21,0,128.0,13.0,48.0,4.0,5020.0,30.0
3,0,128.0,25.0,48.0,6.0,4510.0,3114.0
13,0,128.0,16.0,48.0,8.0,4025.0,3169.0
17,0,32.0,8.0,13.0,2.0,4000.0,2251.0
1,1,64.0,7.0,12.0,3.0,2942.0,6557.0
8,0,32.0,8.0,13.0,2.0,3020.0,2039.0
1,1,128.0,7.0,12.0,3.0,1821.0,5538.0
8,0,128.0,16.0,48.0,6.0,4200.0,3039.0
17,0,32.0,8.0,13.0,3.0,5000.0,2249.0
21,0,64.0,5.0,13.0,3.0,5000.0,2599.0
1,1,128.0,12.0,12.0,4.0,3046.0,8099.0
18,0,64.0,16.0,48.0,6.0,4500.0,35.0
3,0,128.0,25.0,48.0,6.0,4510.0,3381.0
5,0,64.0,8.0,13.0,4.0,4000.0,1873.0
17,0,256.0,10.0,64.0,8.0,4300.0,8959.0
